provinsi,kabupaten_kota,kecamatan,kelurahan_desa,kode_pos
,karanganyar,matesih,pablengan,57781
,karanganyar,matesih,plosorejo,57781
,karanganyar,mojogedang,buntar,57752
,karanganyar,mojogedang,gebyok,57752
,karanganyar,mojogedang,gentungan,57752
,karanganyar,mojogedang,kaliboto,57752
,karanganyar,mojogedang,kedungjeruk,57752
,karanganyar,mojogedang,mojogedang,57752
,karanganyar,mojogedang,mojoroto,57752
,karanganyar,mojogedang,munggur,57716
,karanganyar,mojogedang,ngadirejo,57752
,karanganyar,mojogedang,pendem,57752
,karanganyar,mojogedang,pereng,57752
,karanganyar,mojogedang,pojok,57752
,karanganyar,mojogedang,sewurejo,57752
,karanganyar,ngargoyoso,berjo,57793
,karanganyar,ngargoyoso,dukuh,57731
,karanganyar,ngargoyoso,girimulyo,57793
,karanganyar,ngargoyoso,jatirejo,57793
,karanganyar,ngargoyoso,kemuning,57793
,karanganyar,ngargoyoso,ngargoyoso,57793
,karanganyar,ngargoyoso,nglegok,57793
,karanganyar,ngargoyoso,puntukrejo,57793
,karanganyar,ngargoyoso,segorogunung,57793
,karanganyar,tasikmadu,buran,57722
,karanganyar,tasikmadu,gaum,57722
,karanganyar,tasikmadu,kalijirak,57722
,karanganyar,tasikmadu,kaling,57722
,karanganyar,tasikmadu,karangmojo,57722
,karanganyar,tasikmadu,ngijo,57721
,karanganyar,tasikmadu,pandeyan,57722
,karanganyar,tasikmadu,papahan,57722
,karanganyar,tasikmadu,suruh,57722
,karanganyar,tasikmadu,wonolopo,57722
,karanganyar,tawangmangu,bandardawung,57792
,karanganyar,tawangmangu,blumbang,57792
,karanganyar,tawangmangu,gondosuli,57792
,karanganyar,tawangmangu,kalisoro,57792
,karanganyar,tawangmangu,karanglo,57792
,karanganyar,tawangmangu,nglebak,57792
,karanganyar,tawangmangu,plumbon,57792
,karanganyar,tawangmangu,sepanjang,57792
,karanganyar,tawangmangu,tawangmangu,57792
,karanganyar,tawangmangu,tengklik,57792
,karangasem,abang,ababi,80852
,karangasem,abang,abang,80852
,karangasem,abang,bunutan,80852
,karangasem,abang,culik,80852
,karangasem,abang,datah,80852
,karangasem,abang,kerta mandala,80852
,karangasem,abang,kesimpar,80852
,karangasem,abang,laba sari,80852
,karangasem,abang,nawakerti,80852
,karangasem,abang,pidpid,80852
,karangasem,abang,purwakerti,80852
,karangasem,abang,tista,80852
,karangasem,abang,tiyingtali,80852
,karangasem,abang,tri buana,80852
,karangasem,bebandem,bebandem,80861
,karangasem,bebandem,buana giri,80861
,karangasem,bebandem,budakeling (bude keling),80861
,karangasem,bebandem,bungaya (bungaya kauh),80861
,karangasem,bebandem,bungaya kangin,80861
,karangasem,bebandem,jungutan,80861
,karangasem,bebandem,macang,80861
,karangasem,bebandem,sibetan,80861
,karangasem,karang asem,bugbug,80811
,karangasem,karang asem,bukit,80811
,karangasem,karang asem,karangasem,80811
,karangasem,karang asem,padang kerta,80811
,karangasem,karang asem,pertima,80811
,karangasem,karang asem,seraya barat,80811
,karangasem,karang asem,seraya tengah,80811
,karangasem,karang asem,seraya timur,80811
,karangasem,karang asem,subagan,80813
,karangasem,karang asem,tegallinggah,80811
,karangasem,karang asem,tumbu,80811
,karangasem,kubu,ban,80853
,karangasem,kubu,batu ringgit,80853
,karangasem,kubu,dukuh,80853
,karangasem,kubu,kubu,80853
,karangasem,kubu,sukadana,80853
,karangasem,kubu,tianyar barat,80853
,karangasem,kubu,tianyar tengah,80853
,karangasem,kubu,tianyar timur,80853
,karangasem,kubu,tulamben,80853
,karangasem,manggis,antiga,80871
,karangasem,manggis,antiga kelod,80871
,karangasem,manggis,gegelang,80871
,karangasem,manggis,manggis,80871
,karangasem,manggis,ngis,80871
,karangasem,manggis,nyuh tebel,80871
,karangasem,manggis,padangbai,80871
,karangasem,manggis,pesedahan,80871
,karangasem,manggis,selumbung,80871
,karangasem,manggis,sengkidu,80871
,karangasem,manggis,tenganan,80871
,karangasem,manggis,ulakan,80871
,karangasem,rendang,besakih,80863
,karangasem,rendang,menanga,80863
,karangasem,rendang,nongan,80863
,karangasem,rendang,pempatan,80863
,karangasem,rendang,pesaban,80863
,karangasem,rendang,rendang,80863
,karangasem,selat,amerta bhuana,80862
,karangasem,selat,duda,80862
,karangasem,selat,duda timur,80862
,karangasem,selat,duda utara,80862
,karangasem,selat,muncan,80862
,karangasem,selat,pering sari,80862
,karangasem,selat,sebudi,80862
,karangasem,selat,selat,80862
,karangasem,sidemen,kertha buana,80864
,karangasem,sidemen,lokasari,80864
,karangasem,sidemen,sangkan gunung,80864
,karangasem,sidemen,sidemen,80864
,karangasem,sidemen,sindu wati,80864
,karangasem,sidemen,talibeng,80864
,karangasem,sidemen,tangkup,80864
,karangasem,sidemen,telaga tawang,80864
,karangasem,sidemen,tri eka buana,80864
,karangasem,sidemen,wisma kerta,80864
,karawang,banyusari,banyuasih,41374
,karawang,banyusari,cicinde selatan,41374
,karawang,banyusari,cicinde utara,41374
,karawang,banyusari,gembongan,41374
,karawang,banyusari,gempol,41374
,karawang,banyusari,gempolkolot,41374
,karawang,banyusari,jayamukti,41374
,karawang,banyusari,kutaraharja,41374
,karawang,banyusari,mekarasih,41374
,karawang,banyusari,pamekaran,41374
,karawang,banyusari,talunjaya,41374
,karawang,banyusari,tanjung,41374
,karawang,batujaya,batujaya,41354
,karawang,batujaya,baturaden,41354
,karawang,batujaya,karyabakti,41354
,karawang,batujaya,karyamakmur,41354
,karawang,batujaya,karyamulya,41354
,karawang,batujaya,kutaampel,41354
,karawang,batujaya,segaran,41354
,karawang,batujaya,segarjaya,41354
,karawang,batujaya,telukambulu,41354
,karawang,batujaya,telukbango,41354
,karawang,ciampel,kutamekar,41363
,karawang,ciampel,kutanegara,41363
,karawang,ciampel,kutapohaci,41363
,karawang,ciampel,mulyasari,41363
,karawang,ciampel,mulyasejati,41363
,karawang,ciampel,parungmulya,41363
,karawang,ciampel,tegalega,41363
,karawang,cibuaya,cemarajaya,41356
,karawang,cibuaya,cibuaya,41356
,karawang,cibuaya,gebangjaya,41356
,karawang,cibuaya,jayamulya,41356
,karawang,cibuaya,kalidungjaya,41356
,karawang,cibuaya,kedungjaya,41356
,karawang,cibuaya,kedungjeruk,41356
,karawang,cibuaya,kertarahayu,41356
,karawang,cibuaya,pejaten,41356
,karawang,cibuaya,sedari,41356
,karawang,cibuaya,sukasari,41356
,karawang,cikampek,cikampek barat,41373
,karawang,cikampek,cikampek kota,41373
,karawang,cikampek,cikampek pusaka,41373
,karawang,cikampek,cikampek selatan,41373
,karawang,cikampek,cikampek timur,41373
,karawang,cikampek,dawuan barat,41373
,karawang,cikampek,dawuan tengah,41373
,karawang,cikampek,dawuan timur,41373
,karawang,cikampek,kalihurip,41373
,karawang,cikampek,kamojing,41373
,karawang,cilamaya kulon,bayur kidul,41384
,karawang,cilamaya kulon,bayur lor,41384
,karawang,cilamaya kulon,kiara,41384
,karawang,cilamaya kulon,langensari,41384
,karawang,cilamaya kulon,manggungjaya,41384
,karawang,cilamaya kulon,muktijaya,41384
,karawang,cilamaya kulon,pasirjaya,41384
,karawang,cilamaya kulon,pasirukem,41384
,karawang,cilamaya kulon,sukajaya,41384
,karawang,cilamaya kulon,sukamulya,41384
,karawang,cilamaya kulon,sumurgede,41384
,karawang,cilamaya kulon,tegalurung,41384
,karawang,cilamaya wetan,cikalong,41384
,karawang,cilamaya wetan,cikarang,41384
,karawang,cilamaya wetan,cilamaya,41384
,karawang,cilamaya wetan,mekarmaya,41384
,karawang,cilamaya wetan,muara,41384
,karawang,cilamaya wetan,muarabaru,41384
,karawang,cilamaya wetan,rawagempol kulon,41384
,karawang,cilamaya wetan,rawagempol wetan,41384
,karawang,cilamaya wetan,sukakerta,41384
,karawang,cilamaya wetan,sukatani,41384
,karawang,cilamaya wetan,tegalsari,41384
,karawang,cilamaya wetan,tegalwaru,41384
,karawang,cilebar,cikande,41353
,karawang,cilebar,ciptamargi,41385
,karawang,cilebar,kertamukti,41353
,karawang,cilebar,kosambibatu,41353
,karawang,cilebar,mekarpohaci,41385
,karawang,cilebar,pusakajaya selatan,41353
,karawang,cilebar,pusakajaya utara,41353
,karawang,cilebar,rawasari,41353
,karawang,cilebar,sukaratu,41353
,karawang,cilebar,tanjungsari,41385
,karawang,jatisari,balonggandu,41374
,karawang,jatisari,barugbug,41374
,karawang,jatisari,cikalongsari,41374
,karawang,jatisari,cirejag,41374
,karawang,jatisari,jatibaru,41374
,karawang,jatisari,jatiragas,41374
,karawang,jatisari,jatisari,41374
,karawang,jatisari,jatiwangi,41374
,karawang,jatisari,kalijati,41374
,karawang,jatisari,mekarsari,41374
,karawang,jatisari,pacing,41374
,karawang,jatisari,situdam,41374
,karawang,jatisari,sukamekar,41374
,karawang,jatisari,telarsari,41374
,karawang,jayakerta,ciptamarga,41352
,karawang,jayakerta,jayakerta,41352
,karawang,jayakerta,jayamakmur,41352
,karawang,jayakerta,kampungsawah,41352
,karawang,jayakerta,kemiri,41352
,karawang,jayakerta,kertajaya,41352
,karawang,jayakerta,makmurjaya,41352
,karawang,jayakerta,medangasem,41352
,karawang,karawang barat,adiarsa barat,41311
,karawang,karawang barat,karangpawitan,41315
,karawang,karawang barat,karawang kulon,41311
,karawang,karawang barat,mekarjati,41311
,karawang,karawang barat,nagasari,41312
,karawang,karawang barat,tanjungmekar,41311
,karawang,karawang barat,tanjungpura,41316
,karawang,karawang barat,tunggakjati,41311
,karawang,karawang timur,adiarsa timur,41314
,karawang,karawang timur,karawang wetan,41314
,karawang,karawang timur,kondangjaya,41371
,karawang,karawang timur,margasari,41371
,karawang,karawang timur,palawad,41314
,karawang,karawang timur,palumbonsari,41314
,karawang,karawang timur,tegalsawah,41314
,karawang,karawang timur,warungbambu,41371
,karawang,klari,anggadita,41371
,karawang,klari,belendung,41371
,karawang,klari,cibalongsari,41371
,karawang,klari,cimahi,41371
,karawang,klari,curug,41371
,karawang,klari,duren,41371
,karawang,klari,gintungkerta,41371
,karawang,klari,karanganyar,41371
,karawang,klari,kiarapayung,41371
,karawang,klari,klari,41371
,karawang,klari,pancawati,41371
,karawang,klari,sumurkondang,41371
,karawang,klari,walahar,41371
,karawang,kotabaru,cikampek utara,41374
,karawang,kotabaru,jomin barat,41374
,karawang,kotabaru,jomin timur,41374
,karawang,kotabaru,pangulah baru,41374
,karawang,kotabaru,pangulah selatan,41374
,karawang,kotabaru,pangulah utara,41374
,karawang,kotabaru,pucung,41374
,karawang,kotabaru,sarimulya,41374
,karawang,kotabaru,wancimekar,41374
,karawang,kutawaluya,kutagandok,41358
,karawang,kutawaluya,kutajaya,41358
,karawang,kutawaluya,kutakarya,41358
,karawang,kutawaluya,kutamukti,41358
,karawang,kutawaluya,kutaraja,41358
,karawang,kutawaluya,mulyajaya,41358
,karawang,kutawaluya,sampalan,41358
,karawang,kutawaluya,sindangkarya,41358
,karawang,kutawaluya,sindangmukti,41358
,karawang,kutawaluya,sindangmulya,41358
,karawang,kutawaluya,sindangsari,41358
,karawang,kutawaluya,waluya,41358
,karawang,lemahabang,ciwaringin,41383
,karawang,lemahabang,karangtanjung,41383
,karawang,lemahabang,karyamukti,41383
,karawang,lemahabang,kedawung,41383
,karawang,lemahabang,lemahabang,41383
,karawang,lemahabang,lemahmukti,41383
,karawang,lemahabang,pasirtanjung,41383
,karawang,lemahabang,pulojaya,41383
,karawang,lemahabang,pulokelapa,41383
,karawang,lemahabang,pulomulya,41383
,karawang,lemahabang,waringinkarya,41383
,karawang,majalaya,bengle,41371
,karawang,majalaya,ciranggon,41371
,karawang,majalaya,lemahmulya,41371
,karawang,majalaya,majalaya,41371
,karawang,majalaya,pasirjengkol,41371
,karawang,majalaya,pasirmulya,41371
,karawang,majalaya,sarijaya,41371
,karawang,pakisjaya,solokan,41355
,karawang,pakisjaya,talagajaya,41355
,karawang,pakisjaya,tanahbaru,41355
,karawang,pakisjaya,tanjungbungin,41355
,karawang,pakisjaya,tanjungmekar,41355
,karawang,pakisjaya,tanjungpakis,41355
,karawang,pakisjaya,telukbuyung,41355
,karawang,pakisjaya,telukjaya,41355
,karawang,pangkalan,cintaasih,41362
,karawang,pangkalan,ciptasari,41362
,karawang,pangkalan,jatilaksana,41362
,karawang,pangkalan,kertasari,41362
,karawang,pangkalan,medalsari,41362
,karawang,pangkalan,mulangsari,41362
,karawang,pangkalan,tamanmekar,41362
,karawang,pangkalan,tamansari,41362
,karawang,pedes,dongkal,41353
,karawang,pedes,jatimulya,41353
,karawang,pedes,karangjaya,41353
,karawang,pedes,kedaljaya,41353
,karawang,pedes,kertamulya,41353
,karawang,pedes,kertaraharja,41353
,karawang,pedes,labanjaya,41353
,karawang,pedes,malangsari,41353
,karawang,pedes,payungsari,41353
,karawang,pedes,puspasari,41353
,karawang,pedes,randumulya,41353
,karawang,pedes,sungaibuntu,41353
,karawang,purwasari,cengkong,41373
,karawang,purwasari,darawolong,41371
,karawang,purwasari,karangsari,41373
,karawang,purwasari,mekarjaya,41373
,karawang,purwasari,purwasari,41373
,karawang,purwasari,sukasari,41373
,karawang,purwasari,tamelang,41373
,karawang,purwasari,tegalsari,41373
,karawang,rawamerta,balongsari,41382
,karawang,rawamerta,cibadak,41382
,karawang,rawamerta,gombongsari,41382
,karawang,rawamerta,kutawargi,41382
